date,SCRT/USDT
2025-09-26 00:00:00+00:00,0.1529
2025-09-27 00:00:00+00:00,0.154
2025-09-28 00:00:00+00:00,0.1563
2025-09-29 00:00:00+00:00,0.1545
2025-09-30 00:00:00+00:00,0.1536
2025-10-01 00:00:00+00:00,0.1913
2025-10-02 00:00:00+00:00,0.1917
2025-10-03 00:00:00+00:00,0.1919
2025-10-04 00:00:00+00:00,0.1875
2025-10-05 00:00:00+00:00,0.2062
2025-10-06 00:00:00+00:00,0.2132
2025-10-07 00:00:00+00:00,0.2143
2025-10-08 00:00:00+00:00,0.214
2025-10-09 00:00:00+00:00,0.1911
2025-10-10 00:00:00+00:00,0.1647
2025-10-11 00:00:00+00:00,0.1672
2025-10-12 00:00:00+00:00,0.1858
2025-10-13 00:00:00+00:00,0.2003
2025-10-14 00:00:00+00:00,0.1877
2025-10-15 00:00:00+00:00,0.1748
2025-10-16 00:00:00+00:00,0.1666
2025-10-17 00:00:00+00:00,0.1654
2025-10-18 00:00:00+00:00,0.1631
2025-10-19 00:00:00+00:00,0.1631
2025-10-20 00:00:00+00:00,0.1633
2025-10-21 00:00:00+00:00,0.1572
2025-10-22 00:00:00+00:00,0.1528
2025-10-23 00:00:00+00:00,0.1557
2025-10-24 00:00:00+00:00,0.1559
2025-10-25 00:00:00+00:00,0.1554
2025-10-26 00:00:00+00:00,0.1656
2025-10-27 00:00:00+00:00,0.1594
2025-10-28 00:00:00+00:00,0.1534
2025-10-29 00:00:00+00:00,0.1538
2025-10-30 00:00:00+00:00,0.1414
2025-10-31 00:00:00+00:00,0.1498
2025-11-01 00:00:00+00:00,0.1639
2025-11-02 00:00:00+00:00,0.1763
2025-11-03 00:00:00+00:00,0.1878
2025-11-04 00:00:00+00:00,0.2143
2025-11-05 00:00:00+00:00,0.2228
2025-11-06 00:00:00+00:00,0.2328
2025-11-07 00:00:00+00:00,0.2727
2025-11-08 00:00:00+00:00,0.2171
2025-11-09 00:00:00+00:00,0.21
2025-11-10 00:00:00+00:00,0.2003
2025-11-11 00:00:00+00:00,0.1816
2025-11-12 00:00:00+00:00,0.1837
2025-11-13 00:00:00+00:00,0.179
2025-11-14 00:00:00+00:00,0.1704
2025-11-15 00:00:00+00:00,0.1872
2025-11-16 00:00:00+00:00,0.1742
2025-11-17 00:00:00+00:00,0.199
2025-11-18 00:00:00+00:00,0.186
2025-11-19 00:00:00+00:00,0.1784
2025-11-20 00:00:00+00:00,0.168
2025-11-21 00:00:00+00:00,0.1513
2025-11-22 00:00:00+00:00,0.1451
2025-11-23 00:00:00+00:00,0.1446
2025-11-24 00:00:00+00:00,0.1444
2025-11-25 00:00:00+00:00,0.146
2025-11-26 00:00:00+00:00,0.1503
2025-11-27 00:00:00+00:00,0.1496
2025-11-28 00:00:00+00:00,0.1438
2025-11-29 00:00:00+00:00,0.1419
2025-11-30 00:00:00+00:00,0.1402
2025-12-01 00:00:00+00:00,0.124
2025-12-02 00:00:00+00:00,0.1305
2025-12-03 00:00:00+00:00,0.1366
2025-12-04 00:00:00+00:00,0.1307
2025-12-05 00:00:00+00:00,0.1251
2025-12-06 00:00:00+00:00,0.1291
2025-12-07 00:00:00+00:00,0.1254
2025-12-08 00:00:00+00:00,0.1287
2025-12-09 00:00:00+00:00,0.1385
2025-12-10 00:00:00+00:00,0.1288
2025-12-11 00:00:00+00:00,0.1281
2025-12-12 00:00:00+00:00,0.1254
2025-12-13 00:00:00+00:00,0.1247
2025-12-14 00:00:00+00:00,0.1173
2025-12-15 00:00:00+00:00,0.1114
2025-12-16 00:00:00+00:00,0.113
2025-12-17 00:00:00+00:00,0.1056
2025-12-18 00:00:00+00:00,0.1006
2025-12-19 00:00:00+00:00,0.1089
2025-12-20 00:00:00+00:00,0.1116
2025-12-21 00:00:00+00:00,0.1022
2025-12-22 00:00:00+00:00,0.1027
2025-12-23 00:00:00+00:00,0.1032
2025-12-24 00:00:00+00:00,0.1018
2025-12-25 00:00:00+00:00,0.1011
2025-12-26 00:00:00+00:00,0.1035
2025-12-27 00:00:00+00:00,0.1109
2025-12-28 00:00:00+00:00,0.1072
2025-12-29 00:00:00+00:00,0.1046
2025-12-30 00:00:00+00:00,0.1022
2025-12-31 00:00:00+00:00,0.1006
2026-01-01 00:00:00+00:00,0.1021
2026-01-02 00:00:00+00:00,0.1064
2026-01-03 00:00:00+00:00,0.1075
2026-01-04 00:00:00+00:00,0.1098
2026-01-05 00:00:00+00:00,0.1127
2026-01-06 00:00:00+00:00,0.1141
2026-01-07 00:00:00+00:00,0.1091
2026-01-08 00:00:00+00:00,0.109
2026-01-09 00:00:00+00:00,0.1096
2026-01-10 00:00:00+00:00,0.1079
2026-01-11 00:00:00+00:00,0.1059
2026-01-12 00:00:00+00:00,0.1086
2026-01-13 00:00:00+00:00,0.1225
2026-01-14 00:00:00+00:00,0.1319
2026-01-15 00:00:00+00:00,0.1263
2026-01-16 00:00:00+00:00,0.1347
2026-01-17 00:00:00+00:00,0.1388
2026-01-18 00:00:00+00:00,0.1438
2026-01-19 00:00:00+00:00,0.1649
2026-01-20 00:00:00+00:00,0.1576
