date,HBAR/USDT
2025-04-25 00:00:00+00:00,0.19258
2025-04-26 00:00:00+00:00,0.19155
2025-04-27 00:00:00+00:00,0.19029
2025-04-28 00:00:00+00:00,0.19081
2025-04-29 00:00:00+00:00,0.18603
2025-04-30 00:00:00+00:00,0.1821
2025-05-01 00:00:00+00:00,0.18591
2025-05-02 00:00:00+00:00,0.187
2025-05-03 00:00:00+00:00,0.18024
2025-05-04 00:00:00+00:00,0.17619
2025-05-05 00:00:00+00:00,0.17349
2025-05-06 00:00:00+00:00,0.1771
2025-05-07 00:00:00+00:00,0.17573
2025-05-08 00:00:00+00:00,0.1953
2025-05-09 00:00:00+00:00,0.20247
2025-05-10 00:00:00+00:00,0.21917
2025-05-11 00:00:00+00:00,0.20685
2025-05-12 00:00:00+00:00,0.21509
2025-05-13 00:00:00+00:00,0.21612
2025-05-14 00:00:00+00:00,0.2061
2025-05-15 00:00:00+00:00,0.19804
2025-05-16 00:00:00+00:00,0.19556
2025-05-17 00:00:00+00:00,0.19101
2025-05-18 00:00:00+00:00,0.19681
2025-05-19 00:00:00+00:00,0.1938
2025-05-20 00:00:00+00:00,0.19487
2025-05-21 00:00:00+00:00,0.19801
2025-05-22 00:00:00+00:00,0.20466
2025-05-23 00:00:00+00:00,0.19049
2025-05-24 00:00:00+00:00,0.18842
2025-05-25 00:00:00+00:00,0.18806
2025-05-26 00:00:00+00:00,0.18591
2025-05-27 00:00:00+00:00,0.18722
2025-05-28 00:00:00+00:00,0.18601
2025-05-29 00:00:00+00:00,0.17964
2025-05-30 00:00:00+00:00,0.16725
2025-05-31 00:00:00+00:00,0.16742
2025-06-01 00:00:00+00:00,0.16871
2025-06-02 00:00:00+00:00,0.1714
2025-06-03 00:00:00+00:00,0.17186
2025-06-04 00:00:00+00:00,0.16708
2025-06-05 00:00:00+00:00,0.15944
2025-06-06 00:00:00+00:00,0.1644
2025-06-07 00:00:00+00:00,0.16874
2025-06-08 00:00:00+00:00,0.1693
2025-06-09 00:00:00+00:00,0.17792
2025-06-10 00:00:00+00:00,0.18013
2025-06-11 00:00:00+00:00,0.1729
2025-06-12 00:00:00+00:00,0.16288
2025-06-13 00:00:00+00:00,0.15899
2025-06-14 00:00:00+00:00,0.15497
2025-06-15 00:00:00+00:00,0.15443
2025-06-16 00:00:00+00:00,0.15347
2025-06-17 00:00:00+00:00,0.1486
2025-06-18 00:00:00+00:00,0.14789
2025-06-19 00:00:00+00:00,0.14774
2025-06-20 00:00:00+00:00,0.14459
2025-06-21 00:00:00+00:00,0.138
2025-06-22 00:00:00+00:00,0.13364
2025-06-23 00:00:00+00:00,0.15156
2025-06-24 00:00:00+00:00,0.15399
2025-06-25 00:00:00+00:00,0.14982
2025-06-26 00:00:00+00:00,0.14277
2025-06-27 00:00:00+00:00,0.14599
2025-06-28 00:00:00+00:00,0.14779
2025-06-29 00:00:00+00:00,0.1527
2025-06-30 00:00:00+00:00,0.15004
2025-07-01 00:00:00+00:00,0.14471
2025-07-02 00:00:00+00:00,0.15536
2025-07-03 00:00:00+00:00,0.15901
2025-07-04 00:00:00+00:00,0.15305
2025-07-05 00:00:00+00:00,0.1542
2025-07-06 00:00:00+00:00,0.15931
2025-07-07 00:00:00+00:00,0.15843
2025-07-08 00:00:00+00:00,0.16079
2025-07-09 00:00:00+00:00,0.17093
2025-07-10 00:00:00+00:00,0.1899
2025-07-11 00:00:00+00:00,0.19369
2025-07-12 00:00:00+00:00,0.19735
2025-07-13 00:00:00+00:00,0.24134
2025-07-14 00:00:00+00:00,0.23689
2025-07-15 00:00:00+00:00,0.23308
2025-07-16 00:00:00+00:00,0.23615
2025-07-17 00:00:00+00:00,0.27656
2025-07-18 00:00:00+00:00,0.2594
2025-07-19 00:00:00+00:00,0.26649
2025-07-20 00:00:00+00:00,0.27087
2025-07-21 00:00:00+00:00,0.27116
2025-07-22 00:00:00+00:00,0.27528
2025-07-23 00:00:00+00:00,0.24516
2025-07-24 00:00:00+00:00,0.23911
2025-07-25 00:00:00+00:00,0.25867
2025-07-26 00:00:00+00:00,0.27974
2025-07-27 00:00:00+00:00,0.2917
2025-07-28 00:00:00+00:00,0.27153
2025-07-29 00:00:00+00:00,0.26374
2025-07-30 00:00:00+00:00,0.25576
2025-07-31 00:00:00+00:00,0.25098
2025-08-01 00:00:00+00:00,0.24113
2025-08-02 00:00:00+00:00,0.2301
2025-08-03 00:00:00+00:00,0.24861
2025-08-04 00:00:00+00:00,0.25085
2025-08-05 00:00:00+00:00,0.23931
2025-08-06 00:00:00+00:00,0.24458
2025-08-07 00:00:00+00:00,0.25987
2025-08-08 00:00:00+00:00,0.26177
2025-08-09 00:00:00+00:00,0.26606
2025-08-10 00:00:00+00:00,0.2593
2025-08-11 00:00:00+00:00,0.24657
2025-08-12 00:00:00+00:00,0.26099
2025-08-13 00:00:00+00:00,0.26603
2025-08-14 00:00:00+00:00,0.24866
2025-08-15 00:00:00+00:00,0.24754
2025-08-16 00:00:00+00:00,0.2523
2025-08-17 00:00:00+00:00,0.2521
2025-08-18 00:00:00+00:00,0.24498
2025-08-19 00:00:00+00:00,0.23156
2025-08-20 00:00:00+00:00,0.24177
2025-08-21 00:00:00+00:00,0.23554
2025-08-22 00:00:00+00:00,0.25692
2025-08-23 00:00:00+00:00,0.25338
2025-08-24 00:00:00+00:00,0.24817
2025-08-25 00:00:00+00:00,0.23079
2025-08-26 00:00:00+00:00,0.24177
2025-08-27 00:00:00+00:00,0.23761
2025-08-28 00:00:00+00:00,0.23922
2025-08-29 00:00:00+00:00,0.22796
2025-08-30 00:00:00+00:00,0.22574
2025-08-31 00:00:00+00:00,0.21896
2025-09-01 00:00:00+00:00,0.21468
2025-09-02 00:00:00+00:00,0.22058
2025-09-03 00:00:00+00:00,0.21929
2025-09-04 00:00:00+00:00,0.21351
2025-09-05 00:00:00+00:00,0.2183
2025-09-06 00:00:00+00:00,0.21461
2025-09-07 00:00:00+00:00,0.21949
2025-09-08 00:00:00+00:00,0.22633
2025-09-09 00:00:00+00:00,0.22811
2025-09-10 00:00:00+00:00,0.23424
2025-09-11 00:00:00+00:00,0.23978
2025-09-12 00:00:00+00:00,0.2455
2025-09-13 00:00:00+00:00,0.24817
2025-09-14 00:00:00+00:00,0.24076
2025-09-15 00:00:00+00:00,0.23701
2025-09-16 00:00:00+00:00,0.23804
2025-09-17 00:00:00+00:00,0.24302
2025-09-18 00:00:00+00:00,0.24623
2025-09-19 00:00:00+00:00,0.23884
2025-09-20 00:00:00+00:00,0.24196
2025-09-21 00:00:00+00:00,0.23403
2025-09-22 00:00:00+00:00,0.2222
2025-09-23 00:00:00+00:00,0.21903
2025-09-24 00:00:00+00:00,0.22124
2025-09-25 00:00:00+00:00,0.20754
2025-09-26 00:00:00+00:00,0.21438
2025-09-27 00:00:00+00:00,0.2127
2025-09-28 00:00:00+00:00,0.21607
2025-09-29 00:00:00+00:00,0.21676
2025-09-30 00:00:00+00:00,0.215
2025-10-01 00:00:00+00:00,0.22428
2025-10-02 00:00:00+00:00,0.22746
2025-10-03 00:00:00+00:00,0.22543
2025-10-04 00:00:00+00:00,0.21705
2025-10-05 00:00:00+00:00,0.21636
2025-10-06 00:00:00+00:00,0.23011
2025-10-07 00:00:00+00:00,0.21816
2025-10-08 00:00:00+00:00,0.21968
2025-10-09 00:00:00+00:00,0.21297
2025-10-10 00:00:00+00:00,0.16436
2025-10-11 00:00:00+00:00,0.16805
2025-10-12 00:00:00+00:00,0.18525
2025-10-13 00:00:00+00:00,0.19431
2025-10-14 00:00:00+00:00,0.1902
2025-10-15 00:00:00+00:00,0.17895
2025-10-16 00:00:00+00:00,0.17085
2025-10-17 00:00:00+00:00,0.16256
2025-10-18 00:00:00+00:00,0.1659
2025-10-19 00:00:00+00:00,0.1705
2025-10-20 00:00:00+00:00,0.17554
2025-10-21 00:00:00+00:00,0.17043
2025-10-22 00:00:00+00:00,0.16609
2025-10-23 00:00:00+00:00,0.16506
2025-10-24 00:00:00+00:00,0.17079
2025-10-25 00:00:00+00:00,0.17252
2025-10-26 00:00:00+00:00,0.17995
2025-10-27 00:00:00+00:00,0.18479
2025-10-28 00:00:00+00:00,0.1945
2025-10-29 00:00:00+00:00,0.20109
2025-10-30 00:00:00+00:00,0.19657
2025-10-31 00:00:00+00:00,0.201
2025-11-01 00:00:00+00:00,0.19636
2025-11-02 00:00:00+00:00,0.19452
2025-11-03 00:00:00+00:00,0.17528
2025-11-04 00:00:00+00:00,0.16859
2025-11-05 00:00:00+00:00,0.17518
2025-11-06 00:00:00+00:00,0.1632
2025-11-07 00:00:00+00:00,0.17707
2025-11-08 00:00:00+00:00,0.17566
2025-11-09 00:00:00+00:00,0.17662
2025-11-10 00:00:00+00:00,0.19396
2025-11-11 00:00:00+00:00,0.17776
2025-11-12 00:00:00+00:00,0.17402
2025-11-13 00:00:00+00:00,0.16481
2025-11-14 00:00:00+00:00,0.15297
2025-11-15 00:00:00+00:00,0.15482
2025-11-16 00:00:00+00:00,0.14665
2025-11-17 00:00:00+00:00,0.14583
2025-11-18 00:00:00+00:00,0.15061
2025-11-19 00:00:00+00:00,0.14489
2025-11-20 00:00:00+00:00,0.13653
2025-11-21 00:00:00+00:00,0.1308
2025-11-22 00:00:00+00:00,0.13174
2025-11-23 00:00:00+00:00,0.14795
2025-11-24 00:00:00+00:00,0.14851
2025-11-25 00:00:00+00:00,0.14497
2025-11-26 00:00:00+00:00,0.14788
2025-11-27 00:00:00+00:00,0.14709
2025-11-28 00:00:00+00:00,0.14537
2025-11-29 00:00:00+00:00,0.14319
2025-11-30 00:00:00+00:00,0.14135
2025-12-01 00:00:00+00:00,0.13324
2025-12-02 00:00:00+00:00,0.14466
2025-12-03 00:00:00+00:00,0.14601
2025-12-04 00:00:00+00:00,0.13937
2025-12-05 00:00:00+00:00,0.13391
2025-12-06 00:00:00+00:00,0.13399
2025-12-07 00:00:00+00:00,0.13104
2025-12-08 00:00:00+00:00,0.13453
2025-12-09 00:00:00+00:00,0.13896
2025-12-10 00:00:00+00:00,0.13474
2025-12-11 00:00:00+00:00,0.1299
2025-12-12 00:00:00+00:00,0.12394
2025-12-13 00:00:00+00:00,0.12299
2025-12-14 00:00:00+00:00,0.11821
2025-12-15 00:00:00+00:00,0.11418
2025-12-16 00:00:00+00:00,0.1146
2025-12-17 00:00:00+00:00,0.10992
2025-12-18 00:00:00+00:00,0.1049
2025-12-19 00:00:00+00:00,0.11197
2025-12-20 00:00:00+00:00,0.11379
2025-12-21 00:00:00+00:00,0.11197
2025-12-22 00:00:00+00:00,0.11412
2025-12-23 00:00:00+00:00,0.11045
2025-12-24 00:00:00+00:00,0.10932
2025-12-25 00:00:00+00:00,0.1089
2025-12-26 00:00:00+00:00,0.11165
2025-12-27 00:00:00+00:00,0.11527
2025-12-28 00:00:00+00:00,0.11548
2025-12-29 00:00:00+00:00,0.11286
2025-12-30 00:00:00+00:00,0.1117
2025-12-31 00:00:00+00:00,0.10633
2026-01-01 00:00:00+00:00,0.11434
2026-01-02 00:00:00+00:00,0.12161
2026-01-03 00:00:00+00:00,0.12082
2026-01-04 00:00:00+00:00,0.12542
2026-01-05 00:00:00+00:00,0.13169
2026-01-06 00:00:00+00:00,0.12896
2026-01-07 00:00:00+00:00,0.12369
2026-01-08 00:00:00+00:00,0.12056
2026-01-09 00:00:00+00:00,0.12035
2026-01-10 00:00:00+00:00,0.11786
2026-01-11 00:00:00+00:00,0.11732
2026-01-12 00:00:00+00:00,0.11506
2026-01-13 00:00:00+00:00,0.1223
2026-01-14 00:00:00+00:00,0.12341
2026-01-15 00:00:00+00:00,0.11783
2026-01-16 00:00:00+00:00,0.11862
2026-01-17 00:00:00+00:00,0.11887
2026-01-18 00:00:00+00:00,0.11176
2026-01-19 00:00:00+00:00,0.11088
2026-01-20 00:00:00+00:00,0.11089
